Time	Node	Type	Packets	
1	0	CacheHits	2
1	0	CacheMisses	670
1	1	CacheHits	1
1	1	CacheMisses	678
1	2	CacheHits	3
1	2	CacheMisses	688
2	0	CacheHits	0
2	0	CacheMisses	715
2	1	CacheHits	0
2	1	CacheMisses	715
2	2	CacheHits	2
2	2	CacheMisses	718
3	0	CacheHits	0
3	0	CacheMisses	811
3	1	CacheHits	0
3	1	CacheMisses	803
3	2	CacheHits	1
3	2	CacheMisses	799
4	0	CacheHits	0
4	0	CacheMisses	796
4	1	CacheHits	0
4	1	CacheMisses	805
4	2	CacheHits	0
4	2	CacheMisses	809
5	0	CacheHits	0
5	0	CacheMisses	775
5	1	CacheHits	0
5	1	CacheMisses	774
5	2	CacheHits	1
5	2	CacheMisses	775
6	0	CacheHits	0
6	0	CacheMisses	833
6	1	CacheHits	0
6	1	CacheMisses	833
6	2	CacheHits	0
6	2	CacheMisses	833
7	0	CacheHits	0
7	0	CacheMisses	774
7	1	CacheHits	0
7	1	CacheMisses	774
7	2	CacheHits	1
7	2	CacheMisses	775
8	0	CacheHits	0
8	0	CacheMisses	774
8	1	CacheHits	0
8	1	CacheMisses	774
8	2	CacheHits	1
8	2	CacheMisses	776
9	0	CacheHits	0
9	0	CacheMisses	833
9	1	CacheHits	0
9	1	CacheMisses	833
9	2	CacheHits	0
9	2	CacheMisses	833
10	0	CacheHits	0
10	0	CacheMisses	755
10	1	CacheHits	0
10	1	CacheMisses	747
10	2	CacheHits	2
10	2	CacheMisses	741
11	0	CacheHits	0
11	0	CacheMisses	734
11	1	CacheHits	0
11	1	CacheMisses	743
11	2	CacheHits	1
11	2	CacheMisses	751
12	0	CacheHits	0
12	0	CacheMisses	716
12	1	CacheHits	0
12	1	CacheMisses	715
12	2	CacheHits	2
12	2	CacheMisses	718
13	0	CacheHits	0
13	0	CacheMisses	833
13	1	CacheHits	0
13	1	CacheMisses	833
13	2	CacheHits	0
13	2	CacheMisses	833
14	0	CacheHits	0
14	0	CacheMisses	774
14	1	CacheHits	0
14	1	CacheMisses	774
14	2	CacheHits	1
14	2	CacheMisses	775
15	0	CacheHits	0
15	0	CacheMisses	833
15	1	CacheHits	0
15	1	CacheMisses	833
15	2	CacheHits	0
15	2	CacheMisses	833
16	0	CacheHits	0
16	0	CacheMisses	774
16	1	CacheHits	0
16	1	CacheMisses	775
16	2	CacheHits	1
16	2	CacheMisses	775
17	0	CacheHits	0
17	0	CacheMisses	833
17	1	CacheHits	0
17	1	CacheMisses	833
17	2	CacheHits	0
17	2	CacheMisses	833
18	0	CacheHits	0
18	0	CacheMisses	774
18	1	CacheHits	0
18	1	CacheMisses	774
18	2	CacheHits	1
18	2	CacheMisses	775
19	0	CacheHits	0
19	0	CacheMisses	775
19	1	CacheHits	0
19	1	CacheMisses	774
19	2	CacheHits	1
19	2	CacheMisses	775
20	0	CacheHits	0
20	0	CacheMisses	833
20	1	CacheHits	0
20	1	CacheMisses	833
20	2	CacheHits	0
20	2	CacheMisses	833
21	0	CacheHits	0
21	0	CacheMisses	774
21	1	CacheHits	0
21	1	CacheMisses	774
21	2	CacheHits	1
21	2	CacheMisses	775
22	0	CacheHits	0
22	0	CacheMisses	774
22	1	CacheHits	0
22	1	CacheMisses	774
22	2	CacheHits	1
22	2	CacheMisses	776
23	0	CacheHits	0
23	0	CacheMisses	774
23	1	CacheHits	0
23	1	CacheMisses	774
23	2	CacheHits	1
23	2	CacheMisses	775
24	0	CacheHits	0
24	0	CacheMisses	789
24	1	CacheHits	0
24	1	CacheMisses	781
24	2	CacheHits	1
24	2	CacheMisses	775
25	0	CacheHits	0
25	0	CacheMisses	759
25	1	CacheHits	0
25	1	CacheMisses	768
25	2	CacheHits	1
25	2	CacheMisses	775
26	0	CacheHits	0
26	0	CacheMisses	775
26	1	CacheHits	0
26	1	CacheMisses	774
26	2	CacheHits	1
26	2	CacheMisses	775
27	0	CacheHits	0
27	0	CacheMisses	774
27	1	CacheHits	0
27	1	CacheMisses	774
27	2	CacheHits	1
27	2	CacheMisses	775
28	0	CacheHits	0
28	0	CacheMisses	774
28	1	CacheHits	0
28	1	CacheMisses	774
28	2	CacheHits	1
28	2	CacheMisses	776
29	0	CacheHits	0
29	0	CacheMisses	833
29	1	CacheHits	0
29	1	CacheMisses	833
29	2	CacheHits	0
29	2	CacheMisses	833
30	0	CacheHits	0
