Time	Node	Type	Packets	
1	0	CacheHits	1
1	0	CacheMisses	477
1	1	CacheHits	1
1	1	CacheMisses	485
1	2	CacheHits	6
1	2	CacheMisses	499
2	0	CacheHits	0
2	0	CacheMisses	598
2	1	CacheHits	0
2	1	CacheMisses	598
2	2	CacheHits	4
2	2	CacheMisses	602
3	0	CacheHits	0
3	0	CacheMisses	525
3	1	CacheHits	0
3	1	CacheMisses	517
3	2	CacheHits	5
3	2	CacheMisses	513
4	0	CacheHits	0
4	0	CacheMisses	592
4	1	CacheHits	0
4	1	CacheMisses	592
4	2	CacheHits	5
4	2	CacheMisses	598
5	0	CacheHits	0
5	0	CacheMisses	104
5	1	CacheHits	0
5	1	CacheMisses	104
5	2	CacheHits	0
5	2	CacheMisses	103
6	0	CacheHits	0
6	0	CacheMisses	101
6	1	CacheHits	0
6	1	CacheMisses	101
6	2	CacheHits	1
6	2	CacheMisses	102
7	0	CacheHits	0
7	0	CacheMisses	0
7	1	CacheHits	0
7	1	CacheMisses	0
7	2	CacheHits	0
7	2	CacheMisses	0
8	0	CacheHits	0
8	0	CacheMisses	105
8	1	CacheHits	0
8	1	CacheMisses	105
8	2	CacheHits	1
8	2	CacheMisses	106
9	0	CacheHits	0
9	0	CacheMisses	89
9	1	CacheHits	0
9	1	CacheMisses	89
9	2	CacheHits	1
9	2	CacheMisses	90
10	0	CacheHits	0
10	0	CacheMisses	0
10	1	CacheHits	0
10	1	CacheMisses	0
10	2	CacheHits	0
10	2	CacheMisses	0
11	0	CacheHits	0
11	0	CacheMisses	79
11	1	CacheHits	0
11	1	CacheMisses	79
11	2	CacheHits	1
11	2	CacheMisses	80
12	0	CacheHits	0
12	0	CacheMisses	0
12	1	CacheHits	0
12	1	CacheMisses	0
12	2	CacheHits	0
12	2	CacheMisses	0
13	0	CacheHits	0
13	0	CacheMisses	22
13	1	CacheHits	0
13	1	CacheMisses	31
13	2	CacheHits	1
13	2	CacheMisses	40
14	0	CacheHits	0
14	0	CacheMisses	80
14	1	CacheHits	0
14	1	CacheMisses	71
14	2	CacheHits	0
14	2	CacheMisses	63
15	0	CacheHits	0
15	0	CacheMisses	0
15	1	CacheHits	0
15	1	CacheMisses	0
15	2	CacheHits	0
15	2	CacheMisses	0
16	0	CacheHits	0
16	0	CacheMisses	125
16	1	CacheHits	0
16	1	CacheMisses	125
16	2	CacheHits	1
16	2	CacheMisses	126
17	0	CacheHits	0
17	0	CacheMisses	0
17	1	CacheHits	0
17	1	CacheMisses	0
17	2	CacheHits	0
17	2	CacheMisses	0
18	0	CacheHits	0
18	0	CacheMisses	172
18	1	CacheHits	0
18	1	CacheMisses	172
18	2	CacheHits	1
18	2	CacheMisses	173
19	0	CacheHits	0
19	0	CacheMisses	107
19	1	CacheHits	0
19	1	CacheMisses	107
19	2	CacheHits	1
19	2	CacheMisses	108
20	0	CacheHits	0
20	0	CacheMisses	0
20	1	CacheHits	0
20	1	CacheMisses	0
20	2	CacheHits	0
20	2	CacheMisses	0
21	0	CacheHits	0
21	0	CacheMisses	93
21	1	CacheHits	0
21	1	CacheMisses	93
21	2	CacheHits	1
21	2	CacheMisses	94
22	0	CacheHits	0
22	0	CacheMisses	0
22	1	CacheHits	0
22	1	CacheMisses	0
22	2	CacheHits	0
22	2	CacheMisses	0
23	0	CacheHits	0
23	0	CacheMisses	0
23	1	CacheHits	0
23	1	CacheMisses	0
23	2	CacheHits	1
23	2	CacheMisses	3
24	0	CacheHits	0
24	0	CacheMisses	144
24	1	CacheHits	0
24	1	CacheMisses	144
24	2	CacheHits	0
24	2	CacheMisses	142
25	0	CacheHits	0
25	0	CacheMisses	0
25	1	CacheHits	0
25	1	CacheMisses	0
25	2	CacheHits	0
25	2	CacheMisses	0
26	0	CacheHits	0
26	0	CacheMisses	53
26	1	CacheHits	0
26	1	CacheMisses	53
26	2	CacheHits	1
26	2	CacheMisses	54
27	0	CacheHits	0
27	0	CacheMisses	0
27	1	CacheHits	0
27	1	CacheMisses	0
27	2	CacheHits	0
27	2	CacheMisses	0
28	0	CacheHits	0
28	0	CacheMisses	39
28	1	CacheHits	0
28	1	CacheMisses	39
28	2	CacheHits	1
28	2	CacheMisses	40
29	0	CacheHits	0
29	0	CacheMisses	55
29	1	CacheHits	0
29	1	CacheMisses	55
29	2	CacheHits	1
29	2	CacheMisses	56
30	0	CacheHits	0
30	0	CacheMisses	0
30	1	CacheHits	0
30	1	CacheMisses	0
30	2	CacheHits	0
30	2	CacheMisses	0
31	0	CacheHits	0
31	0	CacheMisses	71
31	1	CacheHits	0
31	1	CacheMisses	71
31	2	CacheHits	1
31	2	CacheMisses	72
32	0	CacheHits	0
32	0	CacheMisses	0
32	1	CacheHits	0
32	1	CacheMisses	0
32	2	CacheHits	0
32	2	CacheMisses	0
33	0	CacheHits	0
33	0	CacheMisses	90
33	1	CacheHits	0
33	1	CacheMisses	90
33	2	CacheHits	1
33	2	CacheMisses	91
34	0	CacheHits	0
34	0	CacheMisses	0
34	1	CacheHits	0
34	1	CacheMisses	0
34	2	CacheHits	0
34	2	CacheMisses	0
35	0	CacheHits	0
35	0	CacheMisses	10
35	1	CacheHits	0
35	1	CacheMisses	10
35	2	CacheHits	1
35	2	CacheMisses	11
