Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
0.881616	2	0	13	7862849	0	881	
2.88162	2	1	13	7710636	2	0	
4.88162	2	2	13	8065030	4	0	
6.88162	2	3	18	8911272	4	0	
8.88162	2	4	19	9058920	4	0	
10.8816	2	5	19	9016160	8	0	
12.8816	2	6	19	8992737	10	0	
14.8816	2	7	19	8978521	10	0	
16.8816	2	8	19	8367449	10	0	
18.8816	2	9	19	8051206	10	0	
20.8816	2	10	19	8302074	12	0	
22.8816	2	11	19	8534599	12	0	
24.8816	2	12	19	9062071	14	0	
26.8816	2	13	19	9028393	18	0	
28.8816	2	14	19	9036475	18	0	
30.8816	2	15	19	9059804	20	0	
32.8816	2	16	19	9025589	20	0	
34.8816	2	17	19	8854535	24	0	
36.8816	2	18	19	8849230	28	0	
38.8816	2	19	19	8788246	28	0	
40.8816	2	20	19	8701620	28	0	
42.8816	2	21	19	8641956	28	0	
44.8816	2	22	19	8821571	28	0	
46.8816	2	23	19	8786844	28	0	
48.8816	2	24	19	9015040	28	0	
50.8816	2	25	19	8927887	28	0	
52.8816	2	26	19	8894447	28	0	
54.8816	2	27	19	8995822	28	0	
56.8816	2	28	19	7975615	28	0	
58.8816	2	29	19	7718866	28	0	
60.8816	2	30	19	8247414	28	0	
62.8816	2	31	19	8465717	28	0	
64.8816	2	32	19	8507611	28	0	
66.8816	2	33	19	8731331	28	0	
68.8816	2	34	19	8600907	28	0	
70.8816	2	35	19	8378059	28	0	
72.8816	2	36	19	8366564	28	0	
74.8816	2	37	19	8873105	28	0	
76.8816	2	38	19	9047552	28	0	
78.8816	2	39	19	9075212	28	0	
80.8816	2	40	19	8696388	28	0	
82.8816	2	41	19	8456974	28	0	
84.8816	2	42	19	7464962	28	0	
86.8816	2	43	19	8088016	28	0	
88.8816	2	44	19	8099290	28	0	
90.8816	2	45	19	8522988	28	0	
92.8816	2	46	19	7427561	28	0	
94.8816	2	47	19	7955499	28	0	
96.8816	2	48	19	8127305	28	0	
98.8816	2	49	19	8126664	28	0	
100.882	2	50	19	8631505	28	0	
102.882	2	51	19	8507235	28	0	
104.882	2	52	19	8130026	28	0	
106.882	2	53	19	8087554	28	0	
108.882	2	54	19	8002396	28	0	
110.882	2	55	19	8008286	28	0	
112.882	2	56	19	8738382	28	0	
114.882	2	57	19	8634302	28	0	
116.882	2	58	19	8781414	28	0	
118.882	2	59	19	9004695	28	0	
120.882	2	60	19	8820347	28	0	
122.882	2	61	19	8642785	28	0	
124.882	2	62	19	8356077	28	0	
126.882	2	63	19	8701548	28	0	
128.882	2	64	19	8514390	28	0	
130.882	2	65	19	8588015	28	0	
132.882	2	66	19	8621378	28	0	
134.882	2	67	19	8694479	28	0	
136.882	2	68	19	8628774	28	0	
138.882	2	69	19	8719660	28	0	
140.882	2	70	19	8656386	28	0	
142.882	2	71	19	8780638	28	0	
144.882	2	72	19	8478171	28	0	
146.882	2	73	19	8749080	28	0	
148.882	2	74	19	8579427	28	0	
150.882	2	75	19	8540232	28	0	
152.882	2	76	19	8791563	28	0	
154.882	2	77	19	8449242	28	0	
156.882	2	78	19	8027083	28	0	
158.882	2	79	19	8288241	28	0	
160.882	2	80	19	8693050	28	0	
162.882	2	81	19	8681285	28	0	
164.882	2	82	19	8611738	28	0	
166.882	2	83	19	8171933	28	0	
168.882	2	84	19	8645130	28	0	
170.882	2	85	19	7037674	28	0	
172.882	2	86	19	7752000	28	0	
174.882	2	87	19	8254066	28	0	
176.882	2	88	19	8832494	28	0	
178.882	2	89	19	8428083	28	0	
180.882	2	90	19	8800911	28	0	
182.882	2	91	19	8791856	28	0	
184.882	2	92	19	8661545	28	0	
186.882	2	93	19	8850588	28	0	
188.882	2	94	19	8643864	28	0	
190.882	2	95	19	7490420	28	0	
192.882	2	96	19	8927543	28	0	
194.882	2	97	19	8755328	28	0	
196.882	2	98	19	8606828	28	0	
198.882	2	99	19	8287945	28	0	
200.882	2	100	19	8546390	28	0	
202.882	2	101	19	8145204	28	0	
204.882	2	102	19	8109926	28	0	
206.882	2	103	19	8472318	28	0	
208.882	2	104	19	8674749	28	0	
210.882	2	105	19	8851865	28	0	
212.882	2	106	19	8964206	28	0	
214.882	2	107	19	8321623	28	0	
216.882	2	108	19	8418447	28	0	
218.882	2	109	19	8519559	28	0	
220.882	2	110	19	8352265	28	0	
222.882	2	111	19	7782776	28	0	
224.882	2	112	19	8931533	28	0	
226.882	2	113	19	8861970	28	0	
228.882	2	114	19	8594861	28	0	
230.882	2	115	19	8156253	28	0	
232.882	2	116	19	8642922	28	0	
234.882	2	117	19	8111780	28	0	
236.882	2	118	19	8158889	28	0	
238.882	2	119	19	8116713	28	0	
240.882	2	120	19	8248833	28	0	
242.882	2	121	19	9019492	28	0	
244.882	2	122	19	8898839	28	0	
246.882	2	123	19	8831160	28	0	
248.882	2	124	19	8754561	28	0	
250.882	2	125	19	8419964	28	0	
252.882	2	126	19	8741455	28	0	
254.882	2	127	19	8526409	28	0	
256.882	2	128	19	8440023	28	0	
258.882	2	129	19	8870063	28	0	
260.882	2	130	19	8695914	28	0	
262.882	2	131	19	8399719	28	0	
264.882	2	132	19	8437592	28	0	
266.882	2	133	19	8625438	28	0	
268.882	2	134	19	8709906	28	0	
270.882	2	135	19	8985497	28	0	
272.882	2	136	19	9033819	28	0	
274.882	2	137	19	8756308	28	0	
276.882	2	138	19	8607445	28	0	
278.882	2	139	19	8883301	28	0	
280.882	2	140	19	8828972	28	0	
282.882	2	141	19	8781116	28	0	
284.882	2	142	19	8762074	28	0	
286.882	2	143	19	8411049	28	0	
288.882	2	144	19	8499452	28	0	
290.882	2	145	19	8309097	28	0	
292.882	2	146	19	8766596	28	0	
294.882	2	147	19	8675544	28	0	
296.882	2	148	19	8429400	28	0	
298.882	2	149	19	8627621	28	0	
300.882	2	150	19	8827508	28	0	
302.882	2	151	19	9006847	28	0	
304.882	2	152	19	8977180	28	0	
306.882	2	153	19	8707519	28	0	
308.882	2	154	19	8749932	28	0	
310.882	2	155	19	8742389	28	0	
312.882	2	156	19	8909435	28	0	
314.882	2	157	19	8899035	28	0	
316.882	2	158	19	8766763	28	0	
318.882	2	159	19	8796264	28	0	
320.882	2	160	19	8915937	28	0	
322.882	2	161	19	8416517	28	0	
324.882	2	162	19	8774341	28	0	
326.882	2	163	19	8914755	28	0	
328.882	2	164	19	8769214	28	0	
330.882	2	165	19	8681800	28	0	
332.882	2	166	19	8428489	28	0	
334.882	2	167	19	8699323	28	0	
336.882	2	168	19	8515636	28	0	
338.882	2	169	19	7864779	28	0	
340.882	2	170	19	8709859	28	0	
342.882	2	171	19	8960302	28	0	
344.882	2	172	19	9044257	28	0	
346.882	2	173	19	9023543	28	0	
348.882	2	174	19	9010782	28	0	
350.882	2	175	19	9060527	28	0	
352.882	2	176	19	8988374	28	0	
354.882	2	177	19	8992067	28	0	
356.882	2	178	19	8938416	28	0	
358.882	2	179	19	9054151	28	0	
360.882	2	180	19	9009829	28	0	
362.882	2	181	19	8830150	28	0	
364.882	2	182	19	9059184	28	0	
366.882	2	183	19	9040086	28	0	
368.882	2	184	19	9012465	28	0	
370.882	2	185	19	8867328	28	0	
372.882	2	186	19	8723145	28	0	
374.882	2	187	19	8602557	28	0	
376.882	2	188	19	8720025	28	0	
378.882	2	189	19	8649201	28	0	
380.882	2	190	19	8669955	28	0	
382.882	2	191	19	7743222	28	0	
384.882	2	192	19	8068095	28	0	
386.882	2	193	19	7469202	28	0	
388.882	2	194	19	8031407	28	0	
390.882	2	195	19	8410646	28	0	
392.882	2	196	19	8479540	28	0	
394.882	2	197	19	8559979	28	0	
396.882	2	198	19	8175101	28	0	
398.882	2	199	19	8630237	28	0	
400.882	2	200	19	7669213	28	0	
402.882	2	201	19	8149680	28	0	
404.882	2	202	19	8636854	28	0	
406.882	2	203	19	8523658	28	0	
408.882	2	204	19	8508634	28	0	
410.882	2	205	19	8645880	28	0	
412.882	2	206	19	8524118	28	0	
414.882	2	207	19	8664771	28	0	
416.882	2	208	19	8428000	28	0	
418.882	2	209	19	8370012	28	0	
420.882	2	210	19	9007975	28	0	
422.882	2	211	19	9053933	28	0	
424.882	2	212	19	8698456	28	0	
426.882	2	213	19	8982062	28	0	
428.882	2	214	19	8435050	28	0	
430.882	2	215	19	8943826	28	0	
432.882	2	216	19	9086199	28	0	
434.882	2	217	19	8677543	28	0	
436.882	2	218	19	8745528	28	0	
438.882	2	219	19	8223576	28	0	
440.882	2	220	19	7878883	28	0	
442.882	2	221	19	8898675	28	0	
444.882	2	222	19	8905291	28	0	
446.882	2	223	19	8003416	28	0	
448.882	2	224	19	7905303	28	0	
450.882	2	225	19	8431726	28	0	
452.882	2	226	19	8509182	28	0	
454.882	2	227	19	7318430	28	0	
456.882	2	228	19	8466048	28	0	
458.882	2	229	19	8637312	28	0	
460.882	2	230	19	8260483	28	0	
462.882	2	231	19	8964855	28	0	
464.882	2	232	19	9058704	28	0	
466.882	2	233	19	8994670	28	0	
468.882	2	234	19	8944238	28	0	
470.882	2	235	19	8748260	28	0	
472.882	2	236	19	8155405	28	0	
474.882	2	237	19	8480101	28	0	
476.882	2	238	19	8155804	28	0	
478.882	2	239	19	8492763	28	0	
480.882	2	240	19	8356591	28	0	
482.882	2	241	19	7687444	28	0	
484.882	2	242	19	8341218	28	0	
486.882	2	243	19	8209805	28	0	
488.882	2	244	19	8002549	28	0	
490.882	2	245	19	8837580	28	0	
492.882	2	246	19	8322545	28	0	
494.882	2	247	19	8355154	28	0	
496.882	2	248	19	8407585	28	0	
498.882	2	249	19	8456818	28	0	
500.882	2	250	19	8637610	28	0	
502.882	2	251	19	8736066	28	0	
504.882	2	252	19	8784099	28	0	
506.882	2	253	19	8897005	28	0	
508.882	2	254	19	8935070	28	0	
510.882	2	255	19	8838457	28	0	
512.882	2	256	19	8822054	28	0	
514.882	2	257	19	8867262	28	0	
516.882	2	258	19	8904944	28	0	
518.882	2	259	19	8893356	28	0	
520.882	2	260	19	8901270	28	0	
522.882	2	261	19	8953092	28	0	
524.882	2	262	19	8911001	28	0	
526.882	2	263	19	8861286	28	0	
528.882	2	264	19	8873193	28	0	
530.882	2	265	19	8952000	28	0	
532.882	2	266	19	8933665	28	0	
534.882	2	267	19	8940343	28	0	
536.882	2	268	19	8851428	28	0	
538.882	2	269	19	8932026	28	0	
540.882	2	270	19	8909696	28	0	
542.882	2	271	19	8903505	28	0	
544.882	2	272	19	8928688	28	0	
546.882	2	273	19	8900957	28	0	
548.882	2	274	19	8934999	28	0	
550.882	2	275	19	8979764	28	0	
552.882	2	276	19	9014623	28	0	
554.882	2	277	19	9040789	28	0	
556.882	2	278	19	9042135	28	0	
558.882	2	279	19	9031488	28	0	
560.882	2	280	19	9005087	28	0	
562.882	2	281	19	8942134	28	0	
564.882	2	282	19	8829982	28	0	
566.882	2	283	19	8727310	28	0	
568.882	2	284	19	8764416	28	0	
570.882	2	285	19	8114237	26	0	
572.882	2	286	19	8376162	24	0	
574.882	2	287	19	8280898	22	0	
576.882	2	288	19	8376794	20	0	
578.882	2	289	19	8223713	18	0	
580.882	2	290	19	5799054	16	0	
582.882	2	291	19	7858064	14	0	
584.882	2	292	19	7468641	12	0	
586.882	2	293	19	6641810	10	0	
588.882	2	294	19	7772948	8	0	
590.882	2	295	19	7936404	6	0	
592.882	2	296	19	8043170	4	0	
594.882	2	297	19	8019801	2	0	
596.882	2	298	19	5940266	0	0	
