Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
0.452318	2	0	0	4994757	0	452	
2.45232	2	1	0	6741877	16	0	
4.45232	2	2	0	6915454	28	0	
6.45232	2	3	0	6710639	28	0	
8.45232	2	4	0	6982622	28	0	
10.4523	2	5	0	6556087	28	0	
12.4523	2	6	0	6711502	28	0	
14.4523	2	7	0	6517039	28	0	
16.4523	2	8	0	4561623	28	0	
18.4523	2	9	0	4248000	28	0	
20.4523	2	10	0	5177477	28	0	
22.4523	2	11	0	6022538	28	0	
24.4523	2	12	0	6851393	28	0	
26.4523	2	13	0	6613448	28	0	
28.4523	2	14	0	6736226	28	0	
30.4523	2	15	0	6679967	28	0	
32.4523	2	16	0	6974947	28	0	
34.4523	2	17	0	5979610	28	0	
36.4523	2	18	0	5913717	28	0	
38.4523	2	19	0	6043118	28	0	
40.4523	2	20	0	5611435	28	0	
42.4523	2	21	0	5377366	28	0	
44.4523	2	22	0	5971791	28	0	
46.4523	2	23	0	6408618	28	0	
48.4523	2	24	0	7039971	28	0	
50.4523	2	25	0	6048525	28	0	
52.4523	2	26	0	5785414	28	0	
54.4523	2	27	0	6666238	28	0	
56.4523	2	28	0	4392000	28	0	
58.4523	2	29	0	3643241	28	0	
60.4523	2	30	0	4461059	28	0	
62.4523	2	31	0	5090684	28	0	
64.4523	2	32	0	5702644	28	0	
66.4523	2	33	0	6325333	28	0	
68.4523	2	34	0	6112356	28	0	
70.4523	2	35	0	4434149	28	0	
72.4523	2	36	0	4657323	28	0	
74.4523	2	37	0	6975384	28	0	
76.4523	2	38	0	7677305	28	0	
78.4523	2	39	0	7636454	28	0	
80.4523	2	40	0	6009510	28	0	
82.4523	2	41	0	5218598	28	0	
84.4523	2	42	0	3405837	28	0	
86.4523	2	43	0	4709859	28	0	
88.4523	2	44	0	4677543	28	0	
90.4523	2	45	0	5516210	28	0	
92.4523	2	46	0	3257468	28	0	
94.4523	2	47	0	4646000	28	0	
96.4523	2	48	0	4974880	28	0	
98.4523	2	49	0	4802055	28	0	
100.452	2	50	0	5693318	28	0	
102.452	2	51	0	4934443	28	0	
104.452	2	52	0	5516260	28	0	
106.452	2	53	0	5488655	28	0	
108.452	2	54	0	5589488	28	0	
110.452	2	55	0	5525427	28	0	
112.452	2	56	0	6522620	28	0	
114.452	2	57	0	5811913	28	0	
116.452	2	58	0	6531877	28	0	
118.452	2	59	0	7365143	28	0	
120.452	2	60	0	6753231	28	0	
122.452	2	61	0	6451363	28	0	
124.452	2	62	0	4896435	28	0	
126.452	2	63	0	6418932	28	0	
128.452	2	64	0	5201450	28	0	
130.452	2	65	0	5737511	28	0	
132.452	2	66	0	5618988	28	0	
134.452	2	67	0	6172761	28	0	
136.452	2	68	0	5734630	28	0	
138.452	2	69	0	6474265	28	0	
140.452	2	70	0	5976625	28	0	
142.452	2	71	0	6777434	28	0	
144.452	2	72	0	5001483	28	0	
146.452	2	73	0	5747689	28	0	
148.452	2	74	0	5396790	28	0	
150.452	2	75	0	6545380	28	0	
152.452	2	76	0	6955690	28	0	
154.452	2	77	0	5710444	28	0	
156.452	2	78	0	4022439	28	0	
158.452	2	79	0	5016900	28	0	
160.452	2	80	0	6418785	28	0	
162.452	2	81	0	6502407	28	0	
164.452	2	82	0	6347543	28	0	
166.452	2	83	0	4706238	28	0	
168.452	2	84	0	6417101	28	0	
170.452	2	85	0	3743050	28	0	
172.452	2	86	0	4332184	28	0	
174.452	2	87	0	5213534	28	0	
176.452	2	88	0	7299498	28	0	
178.452	2	89	0	5792874	28	0	
180.452	2	90	0	7260837	28	0	
182.452	2	91	0	7162297	28	0	
184.452	2	92	0	6805651	28	0	
186.452	2	93	0	7521199	28	0	
188.452	2	94	0	6246743	28	0	
190.452	2	95	0	3134339	28	0	
192.452	2	96	0	7472186	28	0	
194.452	2	97	0	6913191	28	0	
196.452	2	98	0	5831005	28	0	
198.452	2	99	0	5318885	28	0	
200.452	2	100	0	5979621	28	0	
202.452	2	101	0	4896108	28	0	
204.452	2	102	0	5187363	28	0	
206.452	2	103	0	6541939	28	0	
208.452	2	104	0	7033710	28	0	
210.452	2	105	0	7627425	28	0	
212.452	2	106	0	7826510	28	0	
214.452	2	107	0	5604138	28	0	
216.452	2	108	0	5683084	28	0	
218.452	2	109	0	6266209	28	0	
220.452	2	110	0	5091458	28	0	
222.452	2	111	0	4928544	28	0	
224.452	2	112	0	5348819	28	0	
226.452	2	113	0	6591353	28	0	
228.452	2	114	0	5954597	28	0	
230.452	2	115	0	4251437	28	0	
232.452	2	116	0	5823351	28	0	
234.452	2	117	0	4658084	28	0	
236.452	2	118	0	4541138	28	0	
238.452	2	119	0	4320372	28	0	
240.452	2	120	0	5039894	28	0	
242.452	2	121	0	7809690	28	0	
244.452	2	122	0	7037943	28	0	
246.452	2	123	0	7097276	28	0	
248.452	2	124	0	7042715	28	0	
250.452	2	125	0	5257900	28	0	
252.452	2	126	0	6819905	28	0	
254.452	2	127	0	5820324	28	0	
256.452	2	128	0	5526790	28	0	
258.452	2	129	0	6835628	28	0	
260.452	2	130	0	6020816	28	0	
262.452	2	131	0	5529223	28	0	
264.452	2	132	0	5515388	28	0	
266.452	2	133	0	5954256	28	0	
268.452	2	134	0	5280654	28	0	
270.452	2	135	0	7665298	28	0	
272.452	2	136	0	7489590	28	0	
274.452	2	137	0	5871746	28	0	
276.452	2	138	0	5942442	28	0	
278.452	2	139	0	6988220	28	0	
280.452	2	140	0	6549793	28	0	
282.452	2	141	0	5115025	28	0	
284.452	2	142	0	5403024	28	0	
286.452	2	143	0	4179338	28	0	
288.452	2	144	0	4836248	28	0	
290.452	2	145	0	4200992	28	0	
292.452	2	146	0	6767293	28	0	
294.452	2	147	0	6822594	28	0	
296.452	2	148	0	5917684	28	0	
298.452	2	149	0	5674591	28	0	
300.452	2	150	0	6690843	28	0	
302.452	2	151	0	6902797	28	0	
304.452	2	152	0	6944992	28	0	
306.452	2	153	0	6700164	28	0	
308.452	2	154	0	6255119	28	0	
310.452	2	155	0	5953575	28	0	
312.452	2	156	0	7562177	28	0	
314.452	2	157	0	6917121	28	0	
316.452	2	158	0	6444160	28	0	
318.452	2	159	0	6781161	28	0	
320.452	2	160	0	7456549	28	0	
322.452	2	161	0	5823871	28	0	
324.452	2	162	0	6760446	28	0	
326.452	2	163	0	7353809	28	0	
328.452	2	164	0	6751456	28	0	
330.452	2	165	0	6474431	28	0	
332.452	2	166	0	6141293	28	0	
334.452	2	167	0	5832951	28	0	
336.452	2	168	0	5505767	28	0	
338.452	2	169	0	4500148	28	0	
340.452	2	170	0	5234650	28	0	
342.452	2	171	0	6777984	28	0	
344.452	2	172	0	7508351	28	0	
346.452	2	173	0	7415411	28	0	
